match_id,batter,inning,Team,Opposition,Over,Ball,Runs,BF,Dots,Fours,Sixes,Out,Dismissal_Kind,Fall_of_Wicket,Strike_rate
981013,CH Gayle,2,Royal Challengers Bengaluru,Gujarat Titans,0,1,9,12,11,2,0,1,bowled,25/2,75.0
981013,V Kohli,2,Royal Challengers Bengaluru,Gujarat Titans,0,8,0,2,2,0,0,1,bowled,12/1,0.0
981013,AB de Villiers,2,Royal Challengers Bengaluru,Gujarat Titans,1,3,79,47,11,5,5,0,,,168.09
981013,KL Rahul,2,Royal Challengers Bengaluru,Gujarat Titans,3,3,0,1,1,0,0,1,caught,25/3,0.0
981013,SR Watson,2,Royal Challengers Bengaluru,Gujarat Titans,3,4,1,6,5,0,0,1,caught,28/4,16.67
981013,Sachin Baby,2,Royal Challengers Bengaluru,Gujarat Titans,4,6,0,3,3,0,0,1,caught,29/5,0.0
981013,STR Binny,2,Royal Challengers Bengaluru,Gujarat Titans,5,4,21,15,7,2,1,1,lbw,68/6,140.0
981013,Iqbal Abdulla,2,Royal Challengers Bengaluru,Gujarat Titans,9,5,33,24,8,3,1,0,,,137.5
981015,DA Warner,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,28,28,10,3,0,1,bowled,71/3,100.0
981015,S Dhawan,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,2,10,10,6,2,0,1,bowled,12/1,100.0
981015,MC Henriques,1,Sunrisers Hyderabad,Kolkata Knight Riders,2,3,31,21,5,1,2,1,caught and bowled,71/2,147.62
981015,DJ Hooda,1,Sunrisers Hyderabad,Kolkata Knight Riders,9,6,21,13,3,0,2,0,,,161.54
981015,Yuvraj Singh,1,Sunrisers Hyderabad,Kolkata Knight Riders,10,1,44,30,17,8,1,1,run out,145/6,146.67
981015,BCJ Cutting,1,Sunrisers Hyderabad,Kolkata Knight Riders,16,1,0,1,1,0,0,1,stumped,124/5,0.0
981015,NV Ojha,1,Sunrisers Hyderabad,Kolkata Knight Riders,16,2,7,9,6,0,0,1,caught,147/7,77.78
981015,B Kumar,1,Sunrisers Hyderabad,Kolkata Knight Riders,18,5,1,2,1,0,0,1,caught,161/8,50.0
981015,Bipul Sharma,1,Sunrisers Hyderabad,Kolkata Knight Riders,18,8,14,6,2,0,2,0,,,233.33
981015,RV Uthappa,2,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,11,7,3,1,0,1,caught,15/1,157.14
981015,G Gambhir,2,Kolkata Knight Riders,Sunrisers Hyderabad,0,2,28,28,13,2,1,1,run out,63/3,100.0
981015,C Munro,2,Kolkata Knight Riders,Sunrisers Hyderabad,1,6,16,17,6,1,0,0,,,94.12
981015,MK Pandey,2,Kolkata Knight Riders,Sunrisers Hyderabad,8,2,36,28,4,2,1,1,caught,125/6,128.57
981015,YK Pathan,2,Kolkata Knight Riders,Sunrisers Hyderabad,9,3,2,6,4,0,0,1,caught,69/4,33.33
981015,SA Yadav,2,Kolkata Knight Riders,Sunrisers Hyderabad,11,3,23,15,3,1,1,1,caught,115/5,153.33
981015,R Sathish,2,Kolkata Knight Riders,Sunrisers Hyderabad,16,2,8,9,3,0,0,1,bowled,139/7,88.89
981015,JO Holder,2,Kolkata Knight Riders,Sunrisers Hyderabad,17,6,6,7,5,1,0,1,caught,140/8,85.71
981015,SP Narine,2,Kolkata Knight Riders,Sunrisers Hyderabad,19,3,1,3,2,0,0,0,,,33.33
981017,ER Dwivedi,1,Gujarat Titans,Sunrisers Hyderabad,0,1,5,5,4,1,0,1,caught,7/1,100.0
981017,BB McCullum,1,Gujarat Titans,Sunrisers Hyderabad,0,2,32,29,15,5,0,1,caught,81/4,110.34
981017,SK Raina,1,Gujarat Titans,Sunrisers Hyderabad,2,1,1,5,4,0,0,1,lbw,19/2,20.0
981017,KD Karthik,1,Gujarat Titans,Sunrisers Hyderabad,3,3,26,19,10,4,1,1,run out,63/3,136.84
981017,AJ Finch,1,Gujarat Titans,Sunrisers Hyderabad,8,6,50,32,13,7,2,1,bowled,134/6,156.25
981017,DR Smith,1,Gujarat Titans,Sunrisers Hyderabad,12,1,1,3,2,0,0,1,caught,83/5,33.33
981017,RA Jadeja,1,Gujarat Titans,Sunrisers Hyderabad,13,1,19,15,1,1,0,0,,,126.67
981017,DJ Bravo,1,Gujarat Titans,Sunrisers Hyderabad,17,4,20,10,4,4,0,1,bowled,158/7,200.0
981017,DS Kulkarni,1,Gujarat Titans,Sunrisers Hyderabad,19,5,3,2,1,0,0,0,,,150.0
981017,DA Warner,2,Sunrisers Hyderabad,Gujarat Titans,0,1,93,58,18,11,3,0,,,160.34
981017,S Dhawan,2,Sunrisers Hyderabad,Gujarat Titans,0,4,0,4,4,0,0,1,run out,6/1,0.0
981017,MC Henriques,2,Sunrisers Hyderabad,Gujarat Titans,2,4,11,6,1,2,0,1,caught,33/2,183.33
981017,Yuvraj Singh,2,Sunrisers Hyderabad,Gujarat Titans,4,2,8,13,8,1,0,1,caught,61/3,61.54
981017,DJ Hooda,2,Sunrisers Hyderabad,Gujarat Titans,8,4,4,9,5,0,0,1,lbw,75/4,44.44
981017,BCJ Cutting,2,Sunrisers Hyderabad,Gujarat Titans,11,2,8,7,3,1,0,1,caught,84/5,114.29
981017,NV Ojha,2,Sunrisers Hyderabad,Gujarat Titans,12,4,10,8,3,0,1,1,caught,117/6,125.0
981017,Bipul Sharma,2,Sunrisers Hyderabad,Gujarat Titans,15,6,27,11,2,0,3,0,,,245.45
981019,DA Warner,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,1,69,38,10,8,3,1,caught,125/3,181.58
981019,S Dhawan,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,2,28,25,13,3,1,1,caught,63/1,112.0
981019,MC Henriques,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,6,6,4,5,1,0,0,1,caught,97/2,80.0
981019,Yuvraj Singh,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,10,1,38,23,8,4,2,1,caught,148/5,165.22
981019,DJ Hooda,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,13,4,3,6,3,0,0,1,caught,147/4,50.0
981019,NV Ojha,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,16,3,7,4,1,1,0,0,,,175.0
981019,BCJ Cutting,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,16,5,39,15,8,3,4,0,run out,158/6,260.0
981019,Bipul Sharma,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,18,1,5,3,1,1,0,1,caught,174/7,166.67
981019,B Kumar,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,19,5,1,1,0,0,0,0,,,100.0
981019,CH Gayle,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,0,1,76,38,19,4,8,1,caught,114/1,200.0
981019,V Kohli,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,0,3,54,35,12,5,2,1,bowled,140/2,154.29
981019,AB de Villiers,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,11,1,5,6,1,0,0,1,caught,148/3,83.33
981019,KL Rahul,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,12,6,11,9,1,1,0,1,bowled,160/4,122.22
981019,SR Watson,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,14,2,11,9,4,0,1,1,caught,164/5,122.22
981019,Sachin Baby,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,15,4,18,10,2,1,1,0,run out,194/7,180.0
981019,STR Binny,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,16,5,9,7,3,0,1,1,run out,180/6,128.57
981019,CJ Jordan,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,18,2,3,4,2,0,0,0,,,75.0
981019,Iqbal Abdulla,2,Royal Challengers Bengaluru,Sunrisers Hyderabad,19,4,4,2,1,1,0,0,,,200.0
1082591,DA Warner,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,1,14,7,6,2,1,1,caught,19/1,200.0
1082591,S Dhawan,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,0,6,40,31,7,5,0,1,caught,93/2,129.03
1082591,MC Henriques,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,6,52,37,9,3,2,1,caught,151/3,140.54
1082591,Yuvraj Singh,1,Sunrisers Hyderabad,Royal Challengers Bengaluru,10,5,62,27,7,7,3,1,bowled,190/4,229.63
